Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
45, 2097152, 4, 8, 512, 2.6411, 2.21528, N/A, 0.646463, 0.698127, 515.823, 9.80183, 4, 2, 1, 1, 8, 1, 56.5743, 2, 2, 2, 1, 4, 1, 81.0609, 
45, 2097152, 4, 8, 512, 2.6411, 2.21528, N/A, 0.646463, 0.698127, 515.823, 9.80183, 4, 2, 1, 1, 8, 1, 56.5743, 2, 2, 2, 1, 4, 1, 81.0609, 
45, 2097152, 4, 8, 512, 2.6411, 2.21528, N/A, 0.646463, 0.698127, 515.823, 9.80183, 4, 2, 1, 1, 8, 1, 56.5743, 2, 2, 2, 1, 4, 1, 81.0609, 
45, 262144, 4, 8, 512, 2.25212, 6.43292, N/A, 0.474905, 0.466308, 78.7898, 2.43205, 2, 2, 1, 1, 8, 2, 26.4297, 2, 2, 0.5, 1, 1, 1, 69.5534, 
45, 524288, 4, 8, 512, 2.25932, 1.98012, N/A, 0.545044, 0.558661, 144.003, 4.88555, 4, 2, 1, 1, 8, 1, 27.0331, 2, 2, 1, 1, 2, 1, 74.804, 
45, 1048576, 4, 8, 512, 2.40916, 2.0694, N/A, 0.578644, 0.614578, 268.642, 6.35994, 4, 2, 1, 1, 8, 1, 41.4593, 2, 2, 1, 1, 2, 1, 78.3631, 
45, 2097152, 4, 8, 512, 2.6411, 2.21528, N/A, 0.646463, 0.698127, 515.823, 9.80183, 4, 2, 1, 1, 8, 1, 56.5743, 2, 2, 2, 1, 4, 1, 81.0609, 
45, 4194304, 4, 8, 512, 3.27007, 2.50905, N/A, 0.768737, 0.864177, 1011.94, 16.0341, 4, 2, 1, 1, 8, 1, 69.2068, 2, 4, 2, 1, 4, 1, 78.1166, 
45, 8388608, 4, 8, 512, 4.2031, 2.50905, N/A, 1.0203, 1.13233, 2005.54, 34.5339, 4, 4, 1, 1, 8, 1, 69.1007, 4, 4, 4, 1, 4, 2, 79.4548, 
45, 16777216, 4, 8, 512, 5.90583, 7.29753, N/A, 1.50685, 1.49162, 3883.14, 65.6008, 2, 8, 1, 1, 8, 2, 71.9738, 4, 4, 4, 1, 8, 1, 82.1099, 
45, 2097152, 4, 8, 512, 2.63278, 2.21528, N/A, 0.740766, 0.825768, 514.259, 9.40564, 4, 2, 1, 1, 8, 2, 58.9568, 2, 2, 2, 1, 2, 2, 80.3511, 
45, 2097152, 4, 8, 512, 2.96246, 6.92373, N/A, 0.658743, 0.627241, 501.693, 8.02182, 2, 2, 1, 1, 8, 2, 69.2094, 2, 2, 2, 4, 1, 1, 81.0609, 
45, 2097152, 4, 8, 512, 2.6411, 2.21528, N/A, 0.646463, 0.698127, 515.823, 9.80183, 4, 2, 1, 1, 8, 1, 56.5743, 2, 2, 2, 1, 4, 1, 81.0609, 
